,title,excerpt,commentCount,likeCount,topics,forumName,gender,school,totalCommentCount
0,#分享 熊來了，免費NFT也來了?,最近的台美股 比特 真的都很熊 難道是因為這樣券商出招了嗎 如圖雖然nft由中心化管超嚴的金融機構發行很詭異 但誰知道會不會突然說持有這個nft美股手續費0元哈哈哈哈哈哈或是之後,0,0,"['分享', 'nft', '免費', '股票']",股票,F,東吳大學,0
0,#其他,,1,1,"['虛擬貨幣', '詐騙']",股票,M,手中的沙,1
0,#請益 數字貨幣新手合約指南,作为一名炒币新人来说首先得找一个大平台找到一位负责任专业的老师带领不要盲目操作拿自己的资金开玩笑最近碰到有新朋友说某些小平台充币就可以终身免手续费结果提币一直到不了帐也有朋友对合约啥也,0,0,"['投資', '股票', '理財', '金融', '請益']",股票,M,國立中央大學,0
0,#請益 交易市場,因為下學期要進實驗室台股開盤時間可能沒時間打單想要繼續用相同的交易模式操作類似的市場目前的交易模式是這樣的做日內波九成五都是空單盤前找1015支標的在早盤把部位打進去之後收盤前,0,2,"['請益', '交易', '市場', '投資']",股票,M,國立臺灣大學,0
0,#分享 這週股市多空交戰,520FED口頭護盤安撫一下市場悲觀情緒美股台指夜盤有v轉反彈出現有趣的是近日和2月附近的台指期貨走出類似的行情加速趕底反彈震盪之後再破底上圖目前台股震盪依舊持續會出現,3,10,"['股市', '投資', '新聞']",股票,M,期指小凱哥,7
0,#標的 下禮拜 可觀察股票,開頭請帶腦自行判斷唷我是只是分享祝大家獲利成功晶宏3141     價格169     壓力175跌深 V型反轉能等MACD翻紅雙線站0軸回測季線買入目前有站上再買入安全,1,6,"['股市', '投資', '股票', '技術分析', '標的']",股票,M,古早味,2
0,#標的 富邦未來車怎麼一直跌不停,手上抱著66張未來車住在一個很高很高的套房裡好韭好韭的股市是邦邦告訴我在好深好深的夜裡會有崩盤秀,7,5,"['富邦未來車', '未來', '電動車', '美股', 'ETF']",股票,M,國立中央大學,12
0,#分享 開發金以及中鋼紀念品心得分享～,剛剛去全通要領中鋼以及開發金的股東紀念品沒想到只是晚了一天就已經要615號以後才會拿得到開發金的故宮彩色花鳥碗只能先登記從去年開發金股東人數就暴增不少我當初有在想ㄧ拿到就要趕快去領但沒,12,8,"['開發', '中鋼', '紀念品', '分享']",股票,F,東方設計大學,19
0,#請益 雃博的未來在哪裡,各位股神們疫情已接近10萬案例為何血氧機還不會起飛有沒有利多面謝謝,4,1,"['投資', '股票', '理財', '台股', '新聞']",股票,M,國立臺灣海洋大學,7
0,#標的 官股（合庫與第一金）,詢問各位大師們若以上兩間做為長期存股標的有經驗的你們都是以哪間為主以及是用每月定期定額的方式嗎謝謝,2,5,['官股'],股票,M,Yue,3
0,#請益 外國人在台是否能線上開卷商戶,如題自己有去瞭解了一下可是好像查不太到想問有沒有人知道,5,0,[],股票,M,國立臺灣大學,5
0,#標的 特斯拉買入計劃,特斯拉100見以下是計劃1 以619為基準點每降100買一股過兩個禮拜價格不動再買一股回升100買一股2 200以下開始建倉買多於一股3 100以下開始重倉Burger,5,9,"['特斯拉', '計劃', '投資', '股票', '美股']",股票,M,Burgers阿斯漢堡,19
0,#請益 #請益 台股限制10% 怎麼還有35的問題？,股市新手想請問大大們台股漲跌限制10為什麼還有下面這種35的情況上網查資料看不太懂有沒有大佬能用白話解釋的,14,2,"['請益', '台股', '問題']",股票,M,高纖豆漿,20
0,#分享 5/20 大盤台指看法,廢話就不說 那我們直接上重點月線月線走勢跟上週的看法一樣頂部型態已形成如5月收K帶量且突破我們的關鍵價位那勢必會有一波空頭週線週線的部分在514時有提到兩個我認為較重要的時間點分別在,0,1,"['大盤', '台指', '看法', '股票', '台股']",股票,M,TAforex,0
0,#其他 老蘇真的是我偶像,不得不說他最近做空都蠻準的轉折之王雖然很多人討厭放空的人多單套滿手的人不妨可以試試做空來填補多單的虧損下週真的是大跌開始嗎散戶的我 看到美股夜盤嘎偉老蘇真的厲害佩服,10,5,"['股市', '投顧']",股票,M,育達科技大學,20
0,#標的 投資越南,想請問一下各位有沒有投資富邦越南ETF00885每個月定投4000或是 中信越南基金每個月3000利安越南基金請別砲我 純粹調查最近00885破發行價我認為可以加碼我加到緊急,9,1,"['投資', '越南', '股票', '理財']",股票,M,逢甲大學,21
0,#請益 申購股票,這支申購張數627請問申購這支好嗎,12,14,"['股票', '台股', '投資', '新手', '請益']",股票,M,國立臺中科技大學,22
